mot,ancien,corrigé
amande,a-mande,amande
aubergine,aube-rgine,aubergine
champignon,cha-mpi-gnon,cha-mpignon
chocolat,ch-oc-olat,choc-olat
citron,ci-tron,citron
citrouille,cit-rouille,citrouille
croissant,croiss-ant,croissant
farine,fa-rine,farine
gâteau,gât-eau,gâteau
jambon,jam-bon,jambon
jus d'orange,jus d'o-ran-ge,jus d'oran-ge
melon,me-lon,melon
oignon,oi-gnon,oignon
orange,o-range,orange
petit pois,pe-tit pois,petit pois
poisson,pois-son,poisson
poivron,poi-vron,poivron
quiché,qui-ché,quiché
raisin,rai-sin,raisin
saucisson,sau-cis-son,sau-cisson
yaourt,ya-ourt,yaourt
araignée,a-rai-gnée,araignée
baleine,ba-leine,baleine
chameau,cha-meau,chameau
chauve-souris,chauv-e-souris,chauv-esouris
cheval,ch-eval,cheval
coccinelle,coc-cinelle,coccinelle
dauphin,dau-phin,dauphin
dindon,din-don,dindon
éléphant,é-lép-hant,é-léphant
flamant rosé,flam-ant ro-sé,flamant ro-sé
hérisson,héri-sson,hérisson
kangourou,kan-gou-rou,kangou-rou
lapin,la-pin,lapin
moustique,mous-tique,moustique
mouton,mou-ton,mouton
oiseau,ois-eau,oiseau
papillon,pa-pi-llon,pa-pillon
perroquet,per-roquet,perroquet
pigeon,pig-eon,pigeon
pingouin,pin-gouin,pingouin
poisson,pois-son,poisson
poussin,pou-ssin,poussin
rhinocéros,rh-in-oc-éros,rhin-oc-éros
serpent,serp-ent,serpent
taureau,tau-reau,taureau
bouché,bou-ché,bouché
chevillé,ch-ev-illé,chev-illé
épaulé,é-paulé,épaulé
poitrine,poi-trine,poitrine
talon,ta-lon,talon
ardoise,ar-doise,ardoise
bibliotheque,bi-bli-ot-heque,bi-bli-otheque
bureau,bur-eau,bureau
ciseaux,cis-eaux,ciseaux
crayon,cra-yon,crayon
dictionnaire,dict-ionn-aire,dictionnaire
pinceau,pin-ceau,pinceau
récréation,ré-cré-a-tion,ré-cré-ation
tableau,ta-bleau,tableau
taille-crayon,tail-le-crayon,tail-lecrayon
armoire,ar-moire,armoire
arrosoir,a-rr-osoir,arrosoir
baignoire,bai-gnoire,baignoire
balai,ba-lai,balai
balcon,bal-con,balcon
bureau,bur-eau,bureau
casserole,ca-ss-erole,cass-erole
cheminée,ch-em-inée,cheminée
ciseaux,cis-eaux,ciseaux
coussin,cou-ssin,coussin
couteau,cou-teau,couteau
échelle,é-chelle,échelle
jardin,jar-din,jardin
machine a laver,ma-chine a la-ver,machine a la-ver
marteau,mart-eau,marteau
miroir,mi-roir,miroir
ordinateur,or-dina-teur,ordina-teur
parapluie,pa-rap-luie,pa-rapl-uie
peigné,pei-gné,peigné
pinceau,pin-ceau,pinceau
rideau,rid-eau,rideau
savon,sa-von,savon
shampoing,sha-mpoing,shampoing
téléphone,té-lé-phone,té-léphone
télévision,té-lé-vi-sion,té-lé-vision
tournevis,tou-rn-evis,tourn-evis
boucher,bou-cher,boucher
boulanger,bou-lan-ger,boulan-ger
boulangerie,boul-an-gerie,boulan-gerie
cuisinier,cui-sinier,cuisinier
jardinier,jar-dinier,jardinier
magasin,ma-ga-sin,ma-gasin
marché,mar-ché,marché
marin,ma-rin,marin
pharmacie,pha-rm-acie,pharm-acie
théâtre,th-éâtre,théâtre
vétérinaire,vé-té-rinaire,vé-térinaire
avec maman,a-vec ma-man,a-vec maman
c'est un chat,c'e-st un chat,c'est un chat
nous courons,nous cou-rons,nous courons
arc-en-ciel,ar-cen-ciel,arcen-ciel
buisson,buis-son,buisson
campagne,cam-pagne,campagne
chemin,che-min,chemin
colline,co-lline,colline
étoile,é-toile,étoile
horizon,hor-izon,horizon
jardin,jar-din,jardin
lavande,la-vande,lavande
marais,mar-ais,marais
montagne,mon-tagne,montagne
océan,o-cé-an,o-céan
racine,ra-cine,racine
roseau,ros-eau,roseau
sapin,sa-pin,sapin
tournesol,tou-rn-esol,tourn-esol
volcan,vol-can,volcan
caché,ca-ché,caché
bavoir,ba-voir,bavoir
cabane,ca-bane,cabane
farine,fa-rine,farine
macaque,ma-caque,macaque
parachute,pa-ra-chute,pa-rachute
domino,do-mino,domino
ambulance,a-mbu-lance,a-mbulance
avion,a-vion,avion
bateau,bat-eau,bateau
camion,ca-mion,camion
péniche,pé-niche,péniche
sous-marin,sou-sm-arin,sousmarin
trottinette,trot-tinette,trottinette
volant,vol-ant,volant
cuisiner,cui-siner,cuisiner
découper,dé-couper,découper
descendre,des-cendre,descendre
dessiner,de-ss-iner,dessiner
écouter,é-couter,écouter
patiner,pa-tiner,patiner
peigner,pei-gner,peigner
toucher,tou-cher,toucher
bouton,bou-ton,bouton
chapeau,cha-peau,chapeau
écharpé,é-cha-rpé,écha-rpé
maillot de bain,mai-llot de bain,maillot de bain
manteau,man-teau,manteau
pantalon,pant-alon,pantalon
pantoufle,pan-toufle,pantoufle
poché,po-ché,poché
